Student_ID,Application_ID,Registration_Code,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
ST202600961,APP1000988,REG-YRL9Q,Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,147.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",134.4,Yes,no,No,Yes,Male,Yes,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
ST202603266,APP1001240,REG-EH065,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Armed Forces Professions,130.0,No,No,No,Yes,Male,no,22,No,4,10,21,5,11.4,1,2,7,13,6,11.666666666666666,0,15.5,2.8,-4.06,Dropout
ST202601467,APP1000201,REG-SM3LO,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,138.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,999.0,Yes,N,No,Yes,Female,Yes,18,No,0,7,7,7,14.485714285714286,0,0,8,9,8,14.58888888888889,0,16.2,0.3,-0.92,Graduate
ST202601128,APP1000080,REG-SNXYD,Single,Holders of other higher courses,1,Veterinary Nursing,Daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,,130.0,No,No,No,Yes,Female,No,34,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
ST202602697,APP1000154,REG-QAAYR,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,134.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",122.8,No,No,No,Yes,M,No,18,No,0,6,6,6,12.0,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
ST202600945,APP1001666,REG-NPN7Y,Single,1st phase - general contingent,4,Social Service,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",124.8,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,13.0,0,0,6,8,5,13.4,0,8.9,1.4,3.51,Graduate
ST202603668,APP1003460,REG-NVBCQ,Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114.0,No,No,No,Yes,F,No,44,No,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate
ST202601039,APP1004272,REG-HP753,Single,Over 23 years old,1,Social Service,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,139.0,No,No,Yes,No,Male,No,33,No,0,6,8,0,0.0,0,0,5,6,0,0.0,0,16.2,0.3,-0.92,Dropout
ST202600548,APP1003848,REG-I2UG0,single,3rd phase - general contingent,1,Social Service,Daytime,Secondary education,147.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unknown,Administrative staff,Student,130.2,No,No,No,Yes,Female,No,18,No,0,1,1,0,0.0,1,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
ST202602975,APP1002423,REG-EGOC5,Single,Holders of other higher courses,1,Communication Design,Daytime,Higher education - degree,120.0,Portuguese,Higher Education - Master's,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,120.0,No,No,No,Yes,Male,No,28,No,0,6,9,2,12.0,0,0,6,10,3,12.666666666666666,0,12.7,3.7,-1.7,Dropout
ST202603221,APP1000949,REG-QKON8,Married,Change of course,1,Management,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,138.0,No,N,No,Yes,Female,No,34,No,12,15,17,12,11.916666666666666,0,11,13,13,11,13.181818181818182,0,7.6,2.6,0.32,Graduate
ST202602988,APP1000713,REG-EX409,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,112.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",113.8,Yes,No,No,Yes,F,No,21,No,0,6,10,6,10.833333333333334,0,0,6,10,4,11.0,0,7.6,2.6,0.32,Enrolled
ST202601716,APP1004404,REG-TVHMY,Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,120.0,Portuguese,Unknown,Unknown,Student,Student,104.0,No,No,No,Yes,F,No,54,No,0,6,8,4,12.75,0,0,6,12,5,12.6,0,7.6,2.6,0.32,Dropout
ST202602163,APP1001842,REG-ZWM9L,single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,131.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,135.9,Yes,No,No,Yes,Female,No,18,No,0,6,8,5,13.2,0,0,6,6,6,11.333333333333334,0,9.4,-0.8,-3.12,Graduate
ST202601329,APP1004355,REG-RTGVK,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",121.9,Yes,No,No,Yes,Male,No,18,no,0,6,15,3,11.666666666666666,0,0,6,14,2,12.5,0,10.8,1.4,1.74,Dropout
ST202602905,APP1004291,REG-RMYK8,single,Change of course,1,Social Service (evening attendance),Evening,Secondary education,161.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Armed Forces Professions,100.0,No,No,No,Yes,Male,No,44,No,9,13,18,13,11.846153846153848,0,9,11,11,11,12.0,0,12.7,3.7,-1.7,Graduate
ST202603683,APP1000736,REG-A4JGR,SINGLE,2nd phase - general contingent,1,Management,Daytime,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,118.3,No,No,No,Yes,Male,No,18,No,0,5,13,1,10.0,0,0,5,5,1,10.0,0,12.7,3.7,-1.7,Dropout
ST202600790,APP1002637,REG-WR9V4,Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Armed Forces Professions,143.2,No,No,No,Yes,female,No,19,No,0,5,7,5,14.4,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
ST202601428,APP1003686,REG-LMLNL,Single,Change of course,1,Equinculture,Daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,140.0,No,No,No,Yes,Female,No,20,No,10,17,29,14,12.5625,4,7,12,24,12,12.857142857142858,1,15.5,2.8,-4.06,Graduate
ST202600769,APP1002858,REG-JGIXM,Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,118.8,Yes,No,No,Yes,MALE,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
ST202602120,APP1003836,REG-DKHNN,Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,140.0,Portuguese,Higher Education - Master's,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",140.0,Yes,No,No,Yes,Female,No,21,No,0,6,11,4,12.75,0,0,6,19,1,11.0,0,12.4,0.5,1.79,Enrolled
ST202602152,APP1000046,REG-WL0N2,Single,3rd phase - general contingent,3,Communication Design,Daytime,Secondary education,164.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,161.2,Yes,No,No,Yes,Female,No,18,No,1,6,8,6,13.714285714285714,1,0,6,8,6,14.375,0,13.9,-0.3,0.79,Graduate
ST202602071,APP1000375,REG-OEYER,Single,Holders of other higher courses,1,Management,Daytime,Higher education - degree,150.0,Portuguese,Frequency of Higher Education,2nd cycle of the general high school course,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Skilled Workers in Industry, Construction and Craftsmen",150.0,No,No,No,Yes,Female,No,26,No,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202600537,APP1003536,REG-IU3ND,Married,Over 23 years old,1,Veterinary Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",128.2,No,No,No,Yes,Female,No,31,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
ST202602511,APP1003605,REG-K57PL,Single,2nd phase - general contingent,5,Nursing,Daytime,Secondary education,143.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",130.6,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,7,13.15,0,0,8,9,8,15.06875,0,13.9,-0.3,0.79,Graduate
ST202603763,APP1002491,REG-LKP55,Married,Over 23 years old,1,Journalism and Communication,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",162.0,No,No,Yes,Yes,Male,Yes,49,No,0,6,8,6,12.285714285714286,0,0,6,7,6,14.166666666666666,0,10.8,1.4,1.74,Graduate
ST202603310,APP1001097,REG-F02WP,Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,Frequency of higher education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,,Intermediate Level Technicians and Professions,107.0,Yes,No,No,Yes,Male,No,30,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
ST202603958,APP1004203,REG-MPE2X,Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,125.7,No,No,No,Yes,female,No,26,No,0,5,9,2,12.0,0,0,5,9,3,11.0,0,10.8,1.4,1.74,Dropout
ST202603067,APP1002893,REG-JIGZM,Single,1st phase - general contingent,2,Social Service,Daytime,Secondary education,100.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",99.3,Yes,No,No,Yes,Female,No,21,No,0,6,8,5,12.4,0,0,6,6,6,12.0,0,12.4,0.5,1.79,Graduate
ST202602788,APP1001346,REG-PWOZQ,Single,2nd phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,145.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,130.0,Yes,No,No,Yes,Female,No,23,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Dropout
ST202601316,APP1000396,REG-FRX5M,Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,123.0,Yes,N,No,Yes,Female,No,19,No,0,8,8,7,14.328571428571427,0,0,8,8,7,14.328571428571427,0,10.8,1.4,1.74,Graduate
ST202603709,APP1000230,REG-OQV0R,Single,Over 23 years old,1,Tourism,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",102.5,No,No,Yes,No,Male,No,24,No,0,6,7,0,0.0,0,0,6,7,0,0.0,0,16.2,0.3,-0.92,Dropout
ST202601078,APP1002939,REG-FWUJT,Single,1st phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,140.0,Cape Verdean,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,130.5,Yes,No,No,Yes,Female,No,20,Yes,0,6,6,6,12.333333333333334,0,0,6,6,6,12.0,0,12.7,3.7,-1.7,Graduate
ST202601915,APP1000809,REG-NVANR,SINGLE,2nd phase - general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,136.1,Yes,No,No,Yes,Female,Yes,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Enrolled
ST202600049,APP1003477,REG-CX7FN,Single,Over 23 years old,1,Equinculture,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",120.0,Yes,No,No,Yes,Male,No,29,N,0,5,11,1,18.0,2,0,5,10,3,13.333333333333334,2,10.8,1.4,1.74,Dropout
ST202602242,APP1000997,REG-CQ95G,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",125.5,No,No,No,Yes,Female,N,18,No,0,8,10,8,12.86,2,0,8,10,8,12.86,2,9.4,-0.8,-3.12,Graduate
ST202601159,APP1001639,REG-HIDA6,SINGLE,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",100.0,No,No,No,Yes,Male,No,35,No,17,18,20,18,11.555555555555555,0,11,13,13,13,11.615384615384617,0,15.5,2.8,-4.06,Graduate
ST202600700,APP1002807,REG-IF3G1,SINGLE,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,150.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",154.6,Yes,No,No,Yes,Female,No,19,No,6,12,13,12,12.333333333333334,0,4,11,12,10,12.727272727272728,0,8.9,1.4,3.51,Dropout
ST202600571,APP1001449,REG-KJAXN,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,172.0,Brazilian,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",153.8,Yes,No,No,Yes,Female,Yes,20,YES,0,6,6,6,14.0,0,0,6,6,6,13.333333333333334,0,10.8,1.4,1.74,Graduate
ST202601059,APP1003599,REG-NQOF3,Single,Transfer,1,Basic Education,Daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",113.9,Yes,No,No,Yes,Female,,21,No,0,6,8,4,12.25,0,0,6,13,3,10.333333333333334,0,12.7,3.7,-1.7,Dropout
ST202600534,APP1003614,REG-WVIF8,Married,Over 23 years old,1,Tourism,Daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",120.0,Yes,No,No,Yes,Female,No,34,No,0,6,7,5,12.4,0,0,6,8,5,12.8,0,9.4,-0.8,-3.12,Graduate
ST202604204,APP1001296,REG-NOUIF,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,131.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",131.0,Yes,No,No,Yes,Male,TRUE,18,No,0,6,7,6,12.714285714285714,0,0,6,8,5,11.833333333333334,0,13.9,-0.3,0.79,Graduate
ST202603025,APP1001999,REG-NYWDR,Single,2nd phase - general contingent,1,Equinculture,Daytime,Secondary education,130.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,115.9,No,NO,No,Yes,Female,No,18,No,0,5,14,2,12.0,2,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate
ST202602330,APP1003961,REG-MAJIB,Single,Over 23 years old,1,Equinculture,Daytime,Higher education - degree (1st cycle),129.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
ST202603792,APP1003654,REG-T12CD,Divorced,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,110.0,No,No,No,No,FEMALE,No,35,No,0,5,14,1,12.0,2,0,5,11,2,10.5,1,9.4,-0.8,-3.12,Dropout
ST202600181,APP1002341,REG-FYOU5,Single,2nd phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,113.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,118.6,Yes,No,No,Yes,Female,Yes,21,NO,0,6,6,6,14.5,0,0,6,8,6,14.666666666666666,0,8.9,1.4,3.51,Graduate
ST202600080,APP1000441,REG-OUJS7,Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,136.2,Yes,No,Yes,Yes,Male,No,21,No,6,12,12,11,11.545454545454543,0,4,11,18,9,11.7,1,8.9,1.4,3.51,Enrolled
ST202603753,APP1000742,REG-E167D,Single,Over 23 years old,1,Oral Hygiene,Daytime,Secondary education,133.1,Spanish,Higher Education - Degree,Higher Education - Degree,Administrative staff,Administrative staff,169.2,No,No,Yes,No,FEMALE,No,54,Yes,0,7,7,0,0.0,0,0,5,10,0,0.0,0,12.4,0.5,1.79,Dropout
